"blkgroup","medc_allblk","medc_workinRegionblk","medc_within40blk","medc_25_employeesblk","commutersInBlgr","commuterinRegionblk","commuterw40blk","commuter25blk","avgc_allblk","avgc_workinRegionblk","avgc_within40blk","avgc_25_employeesblk","county"
"515400005011",20.0545203678851,2.11363680616356,4.6017061659123,13.5580336728826,840,634,698,783,19.5023375108477,2.16118984638756,4.56275050698899,13.0803766978025,"51540"
"515400005012",16.590793746502,2.11586403274165,4.86962810848712,13.4467123059029,397,308,337,375,17.128760186328,1.99286168861628,4.28847124457509,12.8590848796412,"51540"
"515400005013",21.1291019318377,2.37657760010142,4.534843939036,13.9577168820071,565,413,448,518,22.1963908341157,2.51599133203607,4.54924385514161,15.0868539522379,"51540"
"515400005021",18.4780703790979,2.30662201404239,3.60548264724477,13.8416709373818,831,663,700,786,16.8637102853751,2.50470678405785,3.71065948960014,12.6272473751811,"51540"
"515400005022",16.3394129935456,2.46920335438396,3.17472884564877,12.7897675645691,645,521,545,618,15.8090416652457,2.25843174868898,3.40436722140193,12.4886932719429,"51540"
"515400005023",18.4242287278768,3.54785668532696,4.78502870322844,10.6398281981962,478,381,407,456,18.469275011324,3.43138976068061,4.82441140373335,14.1961723583291,"51540"
"515400005024",16.9797229075614,2.71042274582492,3.9720164360078,12.3113494240947,420,330,347,390,19.5822930395188,2.8836835012811,3.93550312987954,13.4864355547445,"51540"
"515400005025",17.301954084931,2.55333305924733,4.62048986026285,12.6136497758045,301,234,254,281,18.0333099134271,2.49286252972412,4.4090872826858,12.9457551960266,"51540"
"515400006001",38.1393925884772,2.60046066981097,4.35443593684333,26.6645480933727,544,322,349,476,36.4332806282781,2.585565849931,4.32054610971665,26.5205728242021,"51540"
"515400006002",34.3901627760735,2.32247900203043,5.12091901507266,26.8113942075139,401,241,270,351,32.1433919831084,2.85120640055367,5.43133351799599,23.890119380352,"51540"
"515400007001",23.8802189315954,1.90149058455068,4.63777431062316,18.6164171910032,375,255,276,339,24.5064451543601,2.17984116441175,4.31014733605029,18.3286827161694,"51540"
"515400007002",25.6145085525216,1.75363622861011,3.7915925835354,16.8304765303082,575,400,429,518,24.8462053353705,1.9322454704818,3.71730212088877,16.6102230375962,"51540"
"515400007003",27.7992484528049,3.13964118668691,4.76085657718511,20.0132576172061,207,131,146,184,29.1194029750404,3.35706181071523,5.43351774209087,20.3388728687464,"51540"
"515400007004",22.2364555395415,1.89292841139942,2.82023394635053,15.9208889359677,342,248,262,316,22.1802043932627,2.04858157257259,3.48990153402895,17.2839169687978,"51540"
"515400008001",12.8280463550434,2.04096718271859,3.49410929567973,9.37223076341875,480,395,423,460,13.2540199034417,2.29645638051963,3.8717603936513,9.87772526224627,"51540"
"515400008002",14.1789120077618,2.04254169992872,2.84225959867327,8.29733449774357,313,255,268,292,15.2183383592084,2.08474585986928,3.22833212269889,9.35640000391124,"51540"
"515400008003",14.8346575960995,1.63958249950561,3.68072958199397,11.2459782879165,315,254,273,297,13.8995928847507,1.63226511677348,3.26945198513473,9.43658109559181,"51540"
"515400008004",18.1914785808334,1.68852484153948,3.21068243283628,10.6868542332914,760,584,630,703,18.3355305795029,1.95282385859046,3.64984314486601,11.9108122616034,"51540"
"515400009001",15.4505420790252,2.90521424435766,4.71867339603943,11.4737120904221,739,569,613,693,17.8257878605741,2.99102447624737,4.72862718874593,13.1473259655728,"51540"
"515400009002",15.7000022087694,2.66913299196671,4.47283995693276,11.4254021997124,519,413,452,492,15.4969579048017,2.63507612160988,4.76844338462721,11.8683828746405,"51540"
"515400010001",18.1727417371014,1.15189400082442,3.74700384900773,12.8113727431906,483,373,403,453,18.3700392527812,1.45541880079703,3.34482432860806,12.1875991612272,"51540"
"515400010002",19.7780770388762,1.59826694435372,3.78152799011326,11.7307845965135,527,405,436,487,18.2988218576894,1.81048989288983,3.64703368738182,11.9200683000092,"51540"
"515400010003",14.4272955404883,2.22427451017105,2.75523630084597,9.96466483208849,496,400,420,470,15.3410078935848,1.99873405229302,3.0653289739216,10.6870706185701,"51540"
