STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,Year,June,July,August,JuneF,JulyF,AugustF,Totpcp,Totpcpinch
51,001,090800,2,510010908002,Block Group 2,2020,27.62,32.33,29.74,81.72,90.19,85.53,1355.42,53.36
51,001,090800,3,510010908003,Block Group 3,2020,27.8,32.48,29.81,82.04,90.46,85.65,1402.19,55.2
51,001,980100,1,510019801001,Block Group 1,2020,27.04,31.36,29.24,80.68,88.46,84.62,1441.54,56.75
51,001,980200,1,510019802001,Block Group 1,2020,27.34,31.66,29.35,81.21,88.99,84.83,1431.15,56.34
51,001,990100,0,510019901000,Block Group 0,2020,27.25,31.77,29.44,81.06,89.19,84.99,1391.85,54.8
51,001,990200,0,510019902000,Block Group 0,2020,28.75,32.98,29.95,83.74,91.37,85.91,1738.06,68.43
51,131,930100,1,511319301001,Block Group 1,2020,27.99,32.68,29.88,82.38,90.82,85.79,1482.94,58.38
51,131,930100,2,511319301002,Block Group 2,2020,27.89,32.61,29.85,82.2,90.69,85.73,1440.92,56.73
51,131,930100,3,511319301003,Block Group 3,2020,27.87,32.55,29.84,82.16,90.58,85.7,1435.46,56.51
51,131,930100,4,511319301004,Block Group 4,2020,27.64,32.45,29.79,81.76,90.42,85.62,1332.79,52.47
51,131,930200,1,511319302001,Block Group 1,2020,27.93,32.71,29.9,82.27,90.87,85.81,1440.43,56.71
51,131,930200,2,511319302002,Block Group 2,2020,27.9,32.75,29.94,82.22,90.95,85.89,1403.71,55.26
51,131,930200,3,511319302003,Block Group 3,2020,27.95,32.87,30.05,82.31,91.17,86.08,1365.53,53.76
51,131,930200,4,511319302004,Block Group 4,2020,27.8,32.68,29.92,82.04,90.83,85.86,1344.87,52.95
51,131,930300,1,511319303001,Block Group 1,2020,27.93,32.91,30.08,82.27,91.24,86.15,1286.37,50.64
51,131,930300,2,511319303002,Block Group 2,2020,27.96,32.99,30.15,82.34,91.39,86.28,1304.94,51.38
51,131,930300,3,511319303003,Block Group 3,2020,27.75,32.78,30.06,81.96,91.01,86.1,1294.68,50.97
51,131,930300,4,511319303004,Block Group 4,2020,27.85,32.99,30.25,82.12,91.39,86.45,1391.28,54.77
51,131,990100,0,511319901000,Block Group 0,2020,27.66,32.71,30.05,81.79,90.88,86.09,1382.9,54.45
