STATEFP,COUNTYFP,TRACTCE10,BLOCKCE10,GEOID10,NAME10,tree_can,imp_surf,blocks,cells,developed,forest,percent_dev,percent_for
51,001,980200,1172,510019802001172,Block 1172,0,0,278,74,0,0,0,0
51,001,980200,1190,510019802001190,Block 1190,0,0,279,97,0,0,0,0
51,001,090200,3021,510010902003021,Block 3021,0,3.75,280,4,4,0,100,0
51,001,090200,3028,510010902003028,Block 3028,0,12.5,281,2,2,0,100,0
51,001,090200,3023,510010902003023,Block 3023,0,9.5,282,2,2,0,100,0
51,001,090200,3025,510010902003025,Block 3025,0,3.3333333333333335,283,3,3,0,100,0
51,001,090100,4113,510010901004113,Block 4113,0,56,284,2,2,0,100,0
51,001,090100,4079,510010901004079,Block 4079,3,38.666666666666664,285,3,3,0,100,0
51,001,090100,4126,510010901004126,Block 4126,0,39,286,3,3,0,100,0
51,001,090100,4127,510010901004127,Block 4127,0,41,287,1,1,0,100,0
51,001,980200,1165,510019802001165,Block 1165,0,0,288,56,0,0,0,0
51,001,980200,1193,510019802001193,Block 1193,0,0,289,272,0,0,0,0
51,001,090400,1098,510010904001098,Block 1098,0,0,290,123,0,0,0,0
51,001,980200,1162,510019802001162,Block 1162,0,0,291,55,0,0,0,0
51,001,980200,1164,510019802001164,Block 1164,0,0,292,66,0,0,0,0
